Iteration,TotalNodes,MemoryBytes,Phase
198,2,512,Morning_Clean
199,2,512,Morning_Clean
200,2,512,Morning_Clean
201,2,512,Morning_Clean
202,2,512,Morning_Clean
203,2,512,Morning_Clean
204,2,512,Morning_Clean
205,2,512,Morning_Clean
206,2,512,Morning_Clean
207,2,512,Morning_Clean
208,2,512,Morning_Clean
209,2,512,Morning_Clean
210,2,512,Morning_Clean
211,2,512,Morning_Clean
212,2,512,Morning_Clean
213,2,512,Morning_Clean
214,2,512,Morning_Clean
215,2,512,Morning_Clean
216,2,512,Morning_Clean
217,2,512,Morning_Clean
218,2,512,Morning_Clean
219,2,512,Morning_Clean
220,2,512,Morning_Clean
221,2,512,Morning_Clean
222,2,512,Morning_Clean
223,2,512,Morning_Clean
224,2,512,Morning_Clean
225,2,512,Morning_Clean
226,2,512,Morning_Clean
227,2,512,Morning_Clean
228,2,512,Morning_Clean
229,2,512,Morning_Clean
230,2,512,Morning_Clean
231,2,512,Morning_Clean
232,2,512,Morning_Clean
233,2,512,Morning_Clean
234,2,512,Morning_Clean
235,2,512,Morning_Clean
236,2,512,Morning_Clean
237,2,512,Morning_Clean
238,2,512,Morning_Clean
239,2,512,Morning_Clean
240,2,512,Morning_Clean
241,2,512,Morning_Clean
242,2,512,Morning_Clean
243,2,512,Morning_Clean
244,2,512,Morning_Clean
245,2,512,Morning_Clean
246,2,512,Morning_Clean
247,2,512,Morning_Clean
248,2,512,Morning_Clean
249,2,512,Morning_Clean
250,2,512,Morning_Clean
251,2,512,Morning_Clean
252,2,512,Morning_Clean
253,2,512,Morning_Clean
254,2,512,Morning_Clean
255,2,512,Morning_Clean
256,2,512,Morning_Clean
257,2,512,Morning_Clean
258,2,512,Morning_Clean
259,2,512,Morning_Clean
260,2,512,Morning_Clean
261,2,512,Morning_Clean
262,2,512,Morning_Clean
263,2,512,Morning_Clean
264,2,512,Morning_Clean
265,2,512,Morning_Clean
266,2,512,Morning_Clean
267,2,512,Morning_Clean
268,2,512,Morning_Clean
269,2,512,Morning_Clean
270,2,512,Morning_Clean
271,2,512,Morning_Clean
272,2,512,Morning_Clean
273,2,512,Morning_Clean
274,2,512,Morning_Clean
275,2,512,Morning_Clean
276,2,512,Morning_Clean
277,2,512,Morning_Clean
278,2,512,Morning_Clean
279,2,512,Morning_Clean
280,2,512,Morning_Clean
281,2,512,Morning_Clean
282,2,512,Morning_Clean
283,2,512,Morning_Clean
284,2,512,Morning_Clean
285,2,512,Morning_Clean
286,2,512,Morning_Clean
287,2,512,Morning_Clean
288,2,512,Morning_Clean
289,2,512,Morning_Clean
290,2,512,Morning_Clean
291,2,512,Morning_Clean
292,2,512,Morning_Clean
293,2,512,Morning_Clean
294,2,512,Morning_Clean
295,2,512,Morning_Clean
296,2,512,Morning_Clean
297,2,512,Morning_Clean
298,2,512,Morning_Clean
299,2,512,Morning_Clean
300,2,512,Morning_Clean
301,2,512,Morning_Clean
302,2,512,Morning_Clean
303,2,512,Morning_Clean
304,2,512,Morning_Clean
305,2,512,Morning_Clean
306,2,512,Morning_Clean
307,2,512,Morning_Clean
308,2,512,Morning_Clean
309,2,512,Morning_Clean
310,2,512,Morning_Clean
311,2,512,Morning_Clean
312,2,512,Morning_Clean
313,2,512,Morning_Clean
314,2,512,Morning_Clean
315,2,512,Morning_Clean
316,2,512,Morning_Clean
317,2,512,Morning_Clean
318,2,512,Morning_Clean
319,2,512,Morning_Clean
320,2,512,Morning_Clean
321,2,512,Morning_Clean
322,2,512,Morning_Clean
323,2,512,Morning_Clean
324,2,512,Morning_Clean
325,2,512,Morning_Clean
326,2,512,Morning_Clean
327,2,512,Morning_Clean
328,2,512,Morning_Clean
329,2,512,Morning_Clean
330,2,512,Morning_Clean
331,2,512,Morning_Clean
332,2,512,Morning_Clean
333,2,512,Morning_Clean
334,2,512,Morning_Clean
335,2,512,Morning_Clean
336,2,512,Morning_Clean
337,2,512,Morning_Clean
338,2,512,Morning_Clean
339,2,512,Morning_Clean
340,2,512,Morning_Clean
341,2,512,Morning_Clean
342,2,512,Morning_Clean
343,2,512,Morning_Clean
344,2,512,Morning_Clean
345,2,512,Morning_Clean
346,2,512,Morning_Clean
347,2,512,Morning_Clean
348,2,512,Morning_Clean
349,2,512,Morning_Clean
350,2,512,Morning_Clean
351,2,512,Morning_Clean
352,2,512,Morning_Clean
353,2,512,Morning_Clean
354,2,512,Morning_Clean
355,2,512,Morning_Clean
356,2,512,Morning_Clean
357,2,512,Morning_Clean
358,2,512,Morning_Clean
359,2,512,Morning_Clean
360,2,512,Morning_Clean
361,2,512,Morning_Clean
362,2,512,Morning_Clean
363,2,512,Morning_Clean
364,2,512,Morning_Clean
365,2,512,Morning_Clean
366,2,512,Morning_Clean
367,2,512,Morning_Clean
